Settlement ,Pleiades URI,DARE,Vici URI (Map linking) ,Topostext,Latitude,Longitude,Comments
Lucurgentum,https://pleiades.stoa.org/places/256275,http://dare.ht.lu.se/places/25202.html,https://vici.org/vici/15730/,https://topostext.org/place/371000ULuc,37.122.328,-5.451.969,
Maenoba ,https://pleiades.stoa.org/places/265959,http://dare.ht.lu.se/places/26925,http://vici.org/vici/3707,,3.677.864,-4.100.678,
Malaca,https://pleiades.stoa.org/places/265963,http://dare.ht.lu.se/places/16832.html,https://vici.org/vici/3706/,https://topostext.org/place/367000UMal,36.719.658,-4.420.163,
Mellaria,https://pleiades.stoa.org/places/256293,http://dare.ht.lu.se/places/31285.html,https://vici.org/vici/3636/,,36.066.459,-5.683.253,
Mellaria 2,https://pleiades.stoa.org/places/256292,http://dare.ht.lu.se/places/31285,http://vici.org/vici/3636,https://topostext.org/place/383000UMel,382.806.591,-537.988.855,
Mentesa Bastitanorum ,https://pleiades.stoa.org/places/265970,http://dare.ht.lu.se/places/16842,http://vici.org/vici/3739,,37.741.633,-3.692.715,
Mercablum ,https://pleiades.stoa.org/places/256295,http://dare.ht.lu.se/places/31287,http://vici.org/vici/3676,,36.276.482,-6.088.556,
Miróbriga,https://pleiades.stoa.org/places/256303,http://dare.ht.lu.se/places/21359.html,https://vici.org/vici/10825/,https://topostext.org/place/380000UMi2,3.800.521.345,-868.373.385,
Montoro,https://pleiades.stoa.org/places/265973,http://dare.ht.lu.se/places/37946.html,https://vici.org/vici/16209/,,38.155.628,-4.052.078,
Monturque ,https://pleiades.stoa.org/places/265974,http://dare.ht.lu.se/places/26931,http://vici.org/vici/16035,,37.473.348,-4.581.713,
Munda ,https://pleiades.stoa.org/places/256314,http://dare.ht.lu.se/places/31292.html,https://vici.org/vici/39937/,https://topostext.org/place/374000UMun,37.419.687,-5.141.862,
Munigua ,https://pleiades.stoa.org/places/256318,http://dare.ht.lu.se/places/25204,http://vici.org/vici/15343,https://topostext.org/place/377000UMun,37.713.343,-5.740.734,
Murgi,http://pleiades.stoa.org/places/265977,http://dare.ht.lu.se/places/24861.html,https://vici.org/vici/3751/,,36.775.074,-2.812.733,
Mvrtili/Mirtiles,https://pleiades.stoa.org/places/256234,http://dare.ht.lu.se/places/22482.html,https://vici.org/vici/3652/,https://topostext.org/place/376000UIul,,,
Nabrissa,https://pleiades.stoa.org/places/256322,http://dare.ht.lu.se/places/25205.html,https://vici.org/vici/16016/,https://topostext.org/place/369-61UNeb,36.919.504,-6.078.402,
Naeva,https://pleiades.stoa.org/places/256323,http://dare.ht.lu.se/places/25206.html,https://vici.org/vici/16017/,,37.608.692,-5.825.805,
Nertobriga Concordia Iulia,https://pleiades.stoa.org/places/256325,http://dare.ht.lu.se/places/23503.html,https://vici.org/vici/15339/,,38.164.818,-6.651.443,
Nescania,https://pleiades.stoa.org/places/256326,http://dare.ht.lu.se/places/25207.html,https://vici.org/vici/16018/,https://topostext.org/place/381000UNer,36.931.327,-4.682.723,
Oba ,https://pleiades.stoa.org/places/256340,http://dare.ht.lu.se/places/31297.html,http://vici.org/vici/15821,https://topostext.org/place/364000UOno,36.434.053,-5.453.482,
Obulco,https://pleiades.stoa.org/places/265982,http://dare.ht.lu.se/places/26933.html,https://vici.org/vici/16036/,https://topostext.org/place/379-42UObu,37.870.867,-4.184.754,
Obúlcula,https://pleiades.stoa.org/places/256332,http://dare.ht.lu.se/places/31294.html,https://vici.org/vici/3674/,,37.462.227,-5.348.392,
Ocurri,https://pleiades.stoa.org/places/256333,http://dare.ht.lu.se/places/22426.html,https://vici.org/vici/15300/,,36.677.714,-5.446.568,
Oducia,https://pleiades.stoa.org/places/256334,http://dare.ht.lu.se/places/31295.html,https://vici.org/vici/16070/,,37.609.852,-5.733.109,
Olaurum,https://pleiades.stoa.org/places/256261,http://dare.ht.lu.se/places/25201,http://vici.org/vici/15729,https://topostext.org/place/373000ULau,37.268.682,-4.827.814,
Olontigi? ,https://pleiades.stoa.org/places/256339,http://dare.ht.lu.se/places/31296.html,https://vici.org/vici/16071/,,37.305.179,-6.248.394,
Oningi,https://pleiades.stoa.org/places/260614,,,,3.729.389,-475.972,No coordinates in Pleaides but Geonames has for Casariche. 
Onoba (Huelva),https://pleiades.stoa.org/places/256346,http://dare.ht.lu.se/places/31297.html,https://vici.org/vici/15821/,https://topostext.org/place/364000UOno,37.257.074,-6.949.713,
Onuba,https://pleiades.stoa.org/places/265985,http://dare.ht.lu.se/places/26935.html,https://vici.org/vici/16038/,,37.953.182,-4.496.471,
Oquri,https://pleiades.stoa.org/places/256333,http://dare.ht.lu.se/places/22426.html,http://dare.ht.lu.se/places/22426.html,,,,
Orippo ,https://pleiades.stoa.org/places/256343,http://dare.ht.lu.se/places/31298,http://vici.org/vici/3683,,372.725.169,-60.057.004,
Osca ,https://pleiades.stoa.org/places/260615,,,,,,
Osqua/ Municipium,https://pleiades.stoa.org/places/265805,http://dare.ht.lu.se/places/31337,http://vici.org/vici/15771,,3.688.614,-4.540.804,
Osset,https://pleiades.stoa.org/places/256344,http://dare.ht.lu.se/places/25208.html,https://vici.org/vici/16019/,,37.358.375,-6.035.436,
Ossigi Latonium,https://pleiades.stoa.org/places/265994,http://dare.ht.lu.se/places/26937,http://vici.org/vici/16040,,37.848.915,-3.560.303,
